user ID,user__created_date,country,age,num_messages,num_active_days
1,2/18/2024,Ghana,14,391,2
2,2/16/2024,Kenya,21,208,2
3,3/2/2024,Ghana,14,333,4
4,2/22/2024,South Africa,0,433,4
5,3/19/2024,Ghana,0,1417,10
6,5/10/2023,Nigeria,0,340,4
7,2/25/2024,South Africa,18,132,3
8,3/17/2024,Ghana,18,264,3
9,4/6/2024,Nigeria,17,153,2
10,4/7/2024,Nigeria,14,226,1
11,2/23/2024,South Africa,14,141,1
12,4/20/2024,Ghana,18,155,1
13,3/26/2024,Nigeria,15,426,3
14,5/22/2023,Nigeria,0,352,3
15,4/22/2024,Ghana,17,692,4
16,2/7/2024,Ghana,28,665,6
17,1/9/2024,South Africa,0,658,1
18,5/17/2023,Sierra Leone,0,49,5
19,5/22/2023,Nigeria,0,137,3
20,3/5/2024,Nigeria,19,159,3
21,4/16/2024,Ghana,17,571,5
22,6/24/2023,Ghana,17,210,7
23,2/4/2024,Kenya,16,257,5
24,6/22/2023,Nigeria,10,237,7
25,3/8/2024,Nigeria,16,285,4
26,4/9/2024,Nigeria,19,454,3
27,4/4/2024,Nigeria,18,298,2
28,3/18/2024,Ghana,17,121,1
29,2/18/2024,Nigeria,18,607,3
30,3/24/2024,Mozambique,16,594,7
31,3/17/2024,Nigeria,20,105,1
32,4/13/2024,Ghana,14,188,1
33,12/15/2023,Nigeria,19,560,11
34,4/13/2023,Nigeria,0,267,5
35,3/3/2024,Ghana,19,150,2
36,2/23/2024,Nigeria,14,346,9
37,#N/A,#N/A,#N/A,#N/A,#N/A
38,1/2/2024,Nigeria,20,160,2
39,3/20/2024,Croatia,34,133,2
40,5/7/2023,Nigeria,0,527,7
41,2/8/2023,Nigeria,0,139,4
42,4/6/2024,Ghana,19,228,3
43,3/24/2024,Mozambique,14,1002,6
44,2/22/2024,Ghana,26,302,2
45,4/7/2024,Ghana,14,428,2
46,2/12/2024,Nigeria,28,220,3
47,2/21/2024,Ghana,17,743,6
48,4/17/2024,Nigeria,17,165,3
49,4/14/2024,"Kazakhstan, Russia",16,298,3
50,3/18/2023,Nigeria,0,53,1
51,1/8/2024,Ghana,14,489,3
52,4/7/2024,Nigeria,16,450,7
53,12/25/2023,Ghana,0,509,15
54,4/9/2024,Nigeria,18,207,2
55,3/8/2024,Ghana,27,154,3
56,4/9/2024,Nigeria,26,115,1
57,2/22/2024,South Africa,30,150,1
58,3/22/2024,Ghana,14,1073,7
59,5/25/2023,Ghana,0,159,11
60,2/26/2024,Nigeria,18,603,1
61,4/13/2024,Nigeria,17,212,1
62,4/29/2024,Nigeria,17,169,1
63,2/22/2024,Nigeria,21,165,1
64,2/2/2024,Nigeria,14,2297,23
65,2/5/2024,Ghana,16,222,3
66,4/23/2023,Sierra Leone,0,105,2
67,2/18/2024,Ghana,17,626,8
68,3/3/2024,Nigeria,17,659,6
69,1/6/2024,Uganda,0,127,1
70,4/17/2024,Ghana,15,181,7
71,4/6/2024,Ghana,17,179,2
72,2/16/2024,South Africa,15,154,1
73,1/3/2024,Uganda,0,641,3
74,4/4/2024,Nigeria,18,323,2
75,4/11/2024,Ghana,19,289,2
76,2/1/2024,Nigeria,16,230,1
77,3/24/2024,Mozambique,15,459,1
78,4/11/2024,Ghana,19,495,1
79,1/4/2024,Nigeria,17,123,1
80,1/2/2024,Ghana,14,171,3
